year,geotype_name,boro,geo,geo_id,indicator,n,percent_obese
2013,Neighborhood (UHF 34),Queens, Ridgewood - Forest Hills,405,Obese Adults,"28,000",14.1
2014,Neighborhood (UHF 34),Queens, Ridgewood - Forest Hills,405,Obese Adults,"38,000",19
2015,Neighborhood (UHF 34),Queens, Ridgewood - Forest Hills,405,Obese Adults,"36,000",18.1
2016,Neighborhood (UHF 34),Queens, Ridgewood - Forest Hills,405,Obese Adults,"52,000",25.5
2017,Neighborhood (UHF 34),Queens, Ridgewood - Forest Hills,405,Obese Adults,"46,000",22.7
2013,Neighborhood (UHF 34),Queens, Rockaways,410,Obese Adults,"22,000",27.7
2014,Neighborhood (UHF 34),Queens, Rockaways,410,Obese Adults,"21,000",26
2015,Neighborhood (UHF 34),Queens, Rockaways,410,Obese Adults,"28,000",34.2
2016,Neighborhood (UHF 34),Queens, Rockaways,410,Obese Adults,"21,000",27.1
2017,Neighborhood (UHF 34),Queens, Rockaways,410,Obese Adults,"27,000",33.7
2013,Neighborhood (UHF 34),Bronx, South Bronx,105106107,Obese Adults,"126,000",34.1
2014,Neighborhood (UHF 34),Bronx, South Bronx,105106107,Obese Adults,"115,000",30.5
2015,Neighborhood (UHF 34),Bronx, South Bronx,105106107,Obese Adults,"132,000",33.9
2016,Neighborhood (UHF 34),Bronx, South Bronx,105106107,Obese Adults,"151,000",38.6
2017,Neighborhood (UHF 34),Bronx, South Bronx,105106107,Obese Adults,"153,000",39.1
2013,Neighborhood (UHF 34),Queens, Southeast Queens,409,Obese Adults,"35,000",22.7
2014,Neighborhood (UHF 34),Queens, Southeast Queens,409,Obese Adults,"31,000",20.7
2015,Neighborhood (UHF 34),Queens, Southeast Queens,409,Obese Adults,"39,000",25.7
2016,Neighborhood (UHF 34),Queens, Southeast Queens,409,Obese Adults,"47,000",29.5
2017,Neighborhood (UHF 34),Queens, Southeast Queens,409,Obese Adults,"26,000",17.1
2013,Neighborhood (UHF 34),Staten Island, Southern SI,503504,Obese Adults,"63,000",30
2014,Neighborhood (UHF 34),Staten Island, Southern SI,503504,Obese Adults,"66,000",31
2015,Neighborhood (UHF 34),Staten Island, Southern SI,503504,Obese Adults,"56,000",26.2
2016,Neighborhood (UHF 34),Staten Island, Southern SI,503504,Obese Adults,"62,000",29.3
2017,Neighborhood (UHF 34),Staten Island, Southern SI,503504,Obese Adults,"51,000",23.4
2013,Neighborhood (UHF 34),Queens, Southwest Queens,407,Obese Adults,"47,000",23.4
2014,Neighborhood (UHF 34),Queens, Southwest Queens,407,Obese Adults,"63,000",30.7
2015,Neighborhood (UHF 34),Queens, Southwest Queens,407,Obese Adults,"61,000",29.3
2016,Neighborhood (UHF 34),Queens, Southwest Queens,407,Obese Adults,"47,000",22.9
2017,Neighborhood (UHF 34),Queens, Southwest Queens,407,Obese Adults,"64,000",30.6
2013,Neighborhood (UHF 34),Brooklyn, Sunset Park,205,Obese Adults,"18,000",20.7
2014,Neighborhood (UHF 34),Brooklyn, Sunset Park,205,Obese Adults,"18,000",19.1
2015,Neighborhood (UHF 34),Brooklyn, Sunset Park,205,Obese Adults,"21,000",21.2
2016,Neighborhood (UHF 34),Brooklyn, Sunset Park,205,Obese Adults,"24,000",24.4
2017,Neighborhood (UHF 34),Brooklyn, Sunset Park,205,Obese Adults,"22,000",22.5
2013,Neighborhood (UHF 34),Manhattan, Union Square-Lower Manhattan,309310,Obese Adults,"27,000",13.2
2014,Neighborhood (UHF 34),Manhattan, Union Square-Lower Manhattan,309310,Obese Adults,"27,000",13
2015,Neighborhood (UHF 34),Manhattan, Union Square-Lower Manhattan,309310,Obese Adults,"16,000",7.5
2016,Neighborhood (UHF 34),Manhattan, Union Square-Lower Manhattan,309310,Obese Adults,"22,000",10.5
2017,Neighborhood (UHF 34),Manhattan, Union Square-Lower Manhattan,309310,Obese Adults,"32,000",15.2
2013,Neighborhood (UHF 34),Manhattan, Upper East Side-Gramercy,305307,Obese Adults,"30,000",9.8
2014,Neighborhood (UHF 34),Manhattan, Upper East Side-Gramercy,305307,Obese Adults,"36,000",11.8
2015,Neighborhood (UHF 34),Manhattan, Upper East Side-Gramercy,305307,Obese Adults,"40,000",12.9
2016,Neighborhood (UHF 34),Manhattan, Upper East Side-Gramercy,305307,Obese Adults,"34,000",10.9
2017,Neighborhood (UHF 34),Manhattan, Upper East Side-Gramercy,305307,Obese Adults,"40,000",12.9
2013,Neighborhood (UHF 34),Manhattan, Upper West Side,304,Obese Adults,"20,000",11.6
2014,Neighborhood (UHF 34),Manhattan, Upper West Side,304,Obese Adults,"26,000",14.5
2015,Neighborhood (UHF 34),Manhattan, Upper West Side,304,Obese Adults,"14,000",7.8
2016,Neighborhood (UHF 34),Manhattan, Upper West Side,304,Obese Adults,"20,000",11.1
2017,Neighborhood (UHF 34),Manhattan, Upper West Side,304,Obese Adults,"25,000",13.4
2013,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Obese Adults,"45,000",24
2014,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Obese Adults,"47,000",23.3
2015,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Obese Adults,"52,000",25.8
2016,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Obese Adults,"55,000",27.9
2017,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Obese Adults,"57,000",29
2013,Neighborhood (UHF 34),Queens, West Queens,402,Obese Adults,"78,000",22.6
2014,Neighborhood (UHF 34),Queens, West Queens,402,Obese Adults,"83,000",23.4
2015,Neighborhood (UHF 34),Queens, West Queens,402,Obese Adults,"82,000",22
2016,Neighborhood (UHF 34),Queens, West Queens,402,Obese Adults,"65,000",17.2
2017,Neighborhood (UHF 34),Queens, West Queens,402,Obese Adults,"74,000",19.7
2013,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Obese Adults,"39,000",25.1
2014,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Obese Adults,"49,000",31.7
2015,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Obese Adults,"38,000",25.8
2016,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Obese Adults,"43,000",28.2
2017,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Obese Adults,"44,000",27.5
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
